Ref,Val,Package,PosX,PosY,Rot,Side
"16MhZ","16MHz","ECS3225MV160BNTR3",141.662500,-98.505000,0.000000,top
"C1","4u7","C_0805_2012Metric",145.962500,-93.905000,-90.000000,top
"C2","12p","C_0603_1608Metric",137.562500,-98.205000,90.000000,top
"C3","100n","C_0402_1005Metric",148.832500,-108.425000,-90.000000,top
"C4","1n","C_0603_1608Metric",138.062500,-102.005000,90.000000,top
"C5","12p","C_0603_1608Metric",142.287500,-93.405000,180.000000,top
"C6","100n","C_0402_1005Metric",158.842500,-106.705000,0.000000,top
"C7","10n","C_0402_1005Metric",138.062500,-104.685000,-90.000000,top
"C8","10u","C_0805_2012Metric",163.962500,-93.705000,90.000000,top
"C9","100n","C_0402_1005Metric",158.362500,-94.305000,180.000000,top
"C10","10u","C_0805_2012Metric",158.962500,-89.805000,0.000000,top
"C11","100n","C_0402_1005Metric",149.582500,-92.805000,0.000000,top
"C12","2u2","C_0805_2012Metric",158.062500,-109.205000,0.000000,top
"C13","2u2","C_0805_2012Metric",161.562500,-100.205000,-90.000000,top
"C14","2u2","C_0402_1005Metric",163.462500,-100.825000,-90.000000,top
"C15","10n","C_0402_1005Metric",168.307500,-102.405000,180.000000,top
"C16","10u","C_0805_2012Metric",161.462500,-95.405000,90.000000,top
"D1","B5819W","D_SOD-123",168.662500,-93.005000,180.000000,top
"D3","B5819W","D_SOD-123",165.462500,-104.105000,-90.000000,top
"FB1","600 @ 600MHz","L_0805_2012Metric",163.962500,-97.705000,90.000000,top
"J1","ST_01x02","TerminalBlock_4Ucon_1x02_P3.50mm_Vertical",175.407500,-108.855000,90.000000,top
"J2","USB_B_Micro","USB_Micro-B_Amphenol_10104110_Horizontal",175.762500,-95.505000,90.000000,top
"L","39n","L_Sunlord_MWSA0518_5.4x5.2mm",142.262500,-104.605000,90.000000,top
"L2","10u","L_0402_1005Metric",167.362500,-96.305000,0.000000,top
"POWER LED","LED","LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder",169.262500,-106.905000,90.000000,top
"Q1","AO3400A","SOT-23",164.062500,-109.905000,0.000000,top
"R1","10k","R_0201_0603Metric",152.062500,-92.705000,0.000000,top
"R2","47","R_0201_0603Metric",145.262500,-97.305000,90.000000,top
"R3","1k5","R_0201_0603Metric",146.607500,-106.305000,0.000000,top
"R4","20","R_0201_0603Metric",151.062500,-108.405000,0.000000,top
"R5","20","R_0201_0603Metric",147.362500,-111.605000,0.000000,top
"R6","87k","R_0201_0603Metric",165.607500,-100.405000,-90.000000,top
"R7","64k","R_0201_0603Metric",165.607500,-98.785000,90.000000,top
"R8","20","R_0201_0603Metric",145.162500,-111.005000,0.000000,top
"R9","20","R_0201_0603Metric",155.507500,-111.005000,0.000000,top
"R10","20","R_0201_0603Metric",153.762500,-111.005000,0.000000,top
"R12","20","R_0201_0603Metric",149.917500,-111.005000,0.000000,top
"R14","15k","R_0201_0603Metric",171.307500,-97.860000,-90.000000,top
"R15","270","R_0201_0603Metric",171.307500,-99.805000,-90.000000,top
"R16","22","R_0201_0603Metric",157.142500,-92.605000,0.000000,top
"R17","22","R_0201_0603Metric",145.062500,-100.005000,-90.000000,top
"R18","1k","R_0201_0603Metric",171.307500,-96.005000,-90.000000,top
"SPI","Conn_01x05","PinHeader_1x09_P1.00mm_Vertical",148.062500,-116.005000,90.000000,top
"STATUS","LED","LED_0805_2012Metric",146.362500,-109.005000,0.000000,top
"SW","SW_SPDT","SW_SPDT_PCM12",132.562500,-101.605000,-90.000000,top
"SWD","Conn_02x05","PinHeader_1x10_P1.00mm_Vertical",158.862500,-86.205000,-90.000000,top
"U1","STM32F405RGT6","LQFP-64_10x10mm_P0.5mm",152.962500,-100.405000,0.000000,top
"U2","MP2359DJ","MP2359DJ",168.507500,-99.805000,180.000000,top
"U3","USBLC6-2SC6","SOT-23-6",161.962500,-105.205000,180.000000,top
"USART","Conn_01x04","PinHeader_1x04_P1.00mm_Vertical",162.962500,-116.105000,90.000000,top
